2021-12-07/17:27:14		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-12-07/17:27:16		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-12-07/17:27:16		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-12-07/17:27:17		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-12-07/17:27:19		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-12-07/17:27:20		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-12-07/17:27:21		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-12-07/17:27:23		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-12-07/17:27:23		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-12-07/17:43:06		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-12-07/17:43:07		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-12-07/17:43:07		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-12-07/17:43:08		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-12-07/17:43:09		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-12-07/17:43:10		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-12-07/17:43:12		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-12-07/17:43:13		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-12-07/17:43:14		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-12-07/17:45:22		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-12-07/17:45:22		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-12-07/17:45:23		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-12-07/17:45:23		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-12-07/17:45:24		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-12-07/17:45:24		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-12-07/17:45:25		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-12-07/17:45:26		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-12-07/17:45:26		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-12-07/17:47:58		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-12-07/17:47:59		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-12-07/17:48:00		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-12-07/17:48:00		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-12-07/17:48:01		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-12-07/17:48:01		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-12-07/17:48:02		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-12-07/17:48:03		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-12-07/17:48:04		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-12-08/07:35:54		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-12-08/07:35:55		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-12-08/07:35:55		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-12-08/07:35:56		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-12-08/07:35:56		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-12-08/07:35:57		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-12-08/07:35:58		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-12-08/07:35:58		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-12-08/07:35:59		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-12-08/07:40:20		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-12-08/07:40:21		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-12-08/07:40:23		 wafer_20022020_090716.csv: File Transformed successfully!!
