,columns,missing values count
0,Sensor - 1,12
1,Sensor - 2,35
2,Sensor - 3,155
3,Sensor - 4,155
4,Sensor - 5,155
5,Sensor - 6,155
6,Sensor - 7,155
7,Sensor - 8,97
8,Sensor - 9,24
9,Sensor - 10,24
10,Sensor - 11,24
11,Sensor - 12,24
12,Sensor - 13,24
13,Sensor - 14,36
14,Sensor - 15,36
15,Sensor - 16,36
16,Sensor - 17,36
17,Sensor - 18,36
18,Sensor - 19,36
19,Sensor - 20,0
20,Sensor - 21,0
21,Sensor - 22,11
22,Sensor - 23,11
23,Sensor - 24,11
24,Sensor - 25,11
25,Sensor - 26,11
26,Sensor - 27,11
27,Sensor - 28,11
28,Sensor - 29,11
29,Sensor - 30,11
30,Sensor - 31,11
31,Sensor - 32,11
32,Sensor - 33,0
33,Sensor - 34,0
34,Sensor - 35,0
35,Sensor - 36,0
36,Sensor - 37,0
37,Sensor - 38,0
38,Sensor - 39,0
39,Sensor - 40,0
40,Sensor - 41,171
41,Sensor - 42,171
42,Sensor - 43,0
43,Sensor - 44,0
44,Sensor - 45,0
45,Sensor - 46,0
46,Sensor - 47,0
47,Sensor - 48,0
48,Sensor - 49,0
49,Sensor - 50,0
50,Sensor - 51,0
51,Sensor - 52,0
52,Sensor - 53,0
53,Sensor - 54,12
54,Sensor - 55,12
55,Sensor - 56,12
56,Sensor - 57,12
57,Sensor - 58,12
58,Sensor - 59,12
59,Sensor - 60,59
60,Sensor - 61,59
61,Sensor - 62,59
62,Sensor - 63,59
63,Sensor - 64,59
64,Sensor - 65,59
65,Sensor - 66,59
66,Sensor - 67,59
67,Sensor - 68,59
68,Sensor - 69,59
69,Sensor - 70,59
70,Sensor - 71,59
71,Sensor - 72,59
72,Sensor - 73,6252
73,Sensor - 74,6252
74,Sensor - 75,59
75,Sensor - 76,302
76,Sensor - 77,302
77,Sensor - 78,302
78,Sensor - 79,302
79,Sensor - 80,302
80,Sensor - 81,302
81,Sensor - 82,302
82,Sensor - 83,302
83,Sensor - 84,12
84,Sensor - 85,22
85,Sensor - 86,7203
86,Sensor - 87,0
87,Sensor - 88,0
88,Sensor - 89,0
89,Sensor - 90,600
90,Sensor - 91,600
91,Sensor - 92,57
92,Sensor - 93,24
93,Sensor - 94,24
94,Sensor - 95,57
95,Sensor - 96,57
96,Sensor - 97,57
97,Sensor - 98,57
98,Sensor - 99,57
99,Sensor - 100,57
100,Sensor - 101,57
101,Sensor - 102,57
102,Sensor - 103,57
103,Sensor - 104,24
104,Sensor - 105,24
105,Sensor - 106,57
106,Sensor - 107,57
107,Sensor - 108,57
108,Sensor - 109,57
109,Sensor - 110,3361
110,Sensor - 111,3361
111,Sensor - 112,3361
112,Sensor - 113,6566
113,Sensor - 114,0
114,Sensor - 115,0
115,Sensor - 116,0
116,Sensor - 117,0
117,Sensor - 118,0
118,Sensor - 119,302
119,Sensor - 120,0
120,Sensor - 121,0
121,Sensor - 122,36
122,Sensor - 123,36
123,Sensor - 124,36
124,Sensor - 125,36
125,Sensor - 126,36
126,Sensor - 127,36
127,Sensor - 128,36
128,Sensor - 129,36
129,Sensor - 130,36
130,Sensor - 131,36
131,Sensor - 132,36
132,Sensor - 133,36
133,Sensor - 134,36
134,Sensor - 135,36
135,Sensor - 136,0
136,Sensor - 137,12
137,Sensor - 138,35
138,Sensor - 139,155
139,Sensor - 140,155
140,Sensor - 141,155
141,Sensor - 142,155
142,Sensor - 143,155
143,Sensor - 144,97
144,Sensor - 145,24
145,Sensor - 146,24
146,Sensor - 147,24
147,Sensor - 148,24
148,Sensor - 149,24
149,Sensor - 150,36
150,Sensor - 151,36
151,Sensor - 152,36
152,Sensor - 153,36
153,Sensor - 154,36
154,Sensor - 155,36
155,Sensor - 156,0
156,Sensor - 157,0
157,Sensor - 158,9071
158,Sensor - 159,9071
159,Sensor - 160,11
160,Sensor - 161,11
161,Sensor - 162,11
162,Sensor - 163,11
163,Sensor - 164,11
164,Sensor - 165,11
165,Sensor - 166,11
166,Sensor - 167,11
167,Sensor - 168,11
168,Sensor - 169,11
169,Sensor - 170,11
170,Sensor - 171,0
171,Sensor - 172,0
172,Sensor - 173,0
173,Sensor - 174,0
174,Sensor - 175,0
175,Sensor - 176,0
176,Sensor - 177,0
